,order_status,customer,order_date,order_quantity,sales,discount,discount_value,product_category,product_sub_category
0,Order Finished,Muhammed Mac Intyre,2010-10-13,6,523080,0.04,20923,Office Supplies,Storage & Organization
4,Order Finished,Carl Jackson,2011-06-17,12,187080,0.03,5612,Office Supplies,Binders & Binder Accessories
5,Order Finished,Monica Federle,2011-03-24,21,5563640,0.07,389455,Office Supplies,Storage & Organization
6,Order Returned,Dorothy Badders,2010-02-26,44,456820,0.07,31977,Office Supplies,Paper
7,Order Finished,Neola Schneider,2010-11-23,45,393700,0.01,3937,Office Supplies,Paper
8,Order Finished,Carlos Daly,2012-06-08,32,1433680,0.0,0,Office Supplies,Appliances
9,Order Finished,Claudia Miner,2012-08-04,15,161220,0.02,3224,Office Supplies,Binders & Binder Accessories
12,Order Finished,Sylvia Foulston,2012-02-14,44,8924460,0.04,356978,Furniture,Bookcases
15,Order Finished,Carl Ludwig,2011-03-09,33,1023660,0.1,102366,Office Supplies,Binders & Binder Accessories
18,Order Finished,Carl Ludwig,2010-12-23,25,24056460,0.01,240565,Technology,Copiers & Fax
19,Order Finished,Carlos Soltero,2010-11-08,28,740960,0.04,29638,Office Supplies,Storage & Organization
21,Order Finished,Don Miller,2011-01-01,10,133080,0.01,1331,Technology,Computer Peripherals
23,Order Finished,Jack Garza,2010-09-23,27,2156980,0.08,172558,Technology,Computer Peripherals
24,Order Finished,Julia West,2011-07-19,39,7108920,0.07,497624,Furniture,Chairs & Chairmats
25,Order Finished,Eugene Barchas,2009-10-09,47,383340,0.0,0,Office Supplies,Binders & Binder Accessories
27,Order Finished,Brad Eason,2012-10-08,5,85320,0.06,5119,Office Supplies,Binders & Binder Accessories
28,Order Finished,Nicole Hansen,2012-05-02,21,854640,0.0,0,Office Supplies,Paper
29,Order Finished,Dorothy Wardle,2010-03-08,8,1640568,0.0,0,Technology,Telephones & Communication
30,Order Finished,Aaron Bergman,2011-05-28,5,29520,0.01,295,Office Supplies,Labels
31,Order Finished,Jim Radford,2010-09-19,9,179100,0.06,10746,Office Supplies,Appliances
34,Order Finished,Clay Rozendal,2009-01-30,42,2570740,0.1,257074,Technology,Computer Peripherals
36,Order Finished,Beth Thompson,2010-11-07,22,259240,0.05,12962,Office Supplies,Paper
